,GEO.id,GEO.id2,GEO.display-label,Borough,Total_Housing_unit
0,1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",BRONX,0
1,1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",BRONX,1492
2,1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",BRONX,2129
3,1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",BRONX,2046
4,1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",BRONX,947
5,1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",BRONX,3170
6,1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",BRONX,2004
7,1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",BRONX,30
8,1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",BRONX,2073
9,1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",BRONX,1130
10,1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",BRONX,1452
11,1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",BRONX,2410
12,1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",BRONX,533
13,1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",BRONX,1239
14,1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",BRONX,1397
15,1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",BRONX,118
16,1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",BRONX,433
17,1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",BRONX,2250
18,1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",BRONX,549
19,1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",BRONX,2184
20,1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",BRONX,2810
21,1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",BRONX,2153
22,1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",BRONX,1711
